FS_Method,Model,N_Features,Precision,Recall,F1,AUC_ROC,Latency_ms,Train_Time_s
ALL,LR,30,0.0625,0.8783783783783784,0.11669658886894076,0.9626936658098729,7.62379151047808e-05,0.3719968795776367
ALL,RF,30,0.6966292134831461,0.8378378378378378,0.7607361963190185,0.9643727154278645,0.007665373291127061,114.3253390789032
ALL,GBT,30,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.931899788082962,0.007109379512775614,834.4044260978699
PCA,LR,21,0.05678793256433008,0.8648648648648649,0.10657785179017486,0.9552217524220901,8.309659292220087e-05,0.16455388069152832
PCA,RF,21,0.6976744186046512,0.8108108108108109,0.75,0.9707007584399255,0.007459183242859998,96.81355285644531
PCA,GBT,21,0.6931818181818182,0.8243243243243243,0.7530864197530864,0.9513110465558412,0.00952235612467006,555.0297100543976
MI,LR,3,0.0586046511627907,0.8513513513513513,0.10966057441253264,0.9310591542583665,4.094000038128043e-05,0.10296297073364258
MI,RF,3,0.14219114219114218,0.8243243243243243,0.24254473161033796,0.9322088865736868,0.012478446263978111,30.54385995864868
MI,GBT,3,0.26905829596412556,0.8108108108108109,0.40404040404040403,0.9351640962853681,0.005041011001146172,85.0747582912445
RFE,LR,3,0.0586046511627907,0.8513513513513513,0.10966057441253264,0.9310591542583665,2.544240209082027e-05,0.11261796951293945
RFE,RF,3,0.1491442542787286,0.8243243243243243,0.2525879917184265,0.9329341827759103,0.008400429344864789,28.939366817474365
RFE,GBT,3,0.2798165137614679,0.8243243243243243,0.4178082191780822,0.9359949074003661,0.0052931748393724755,83.92274308204651
QIEA,LR,3,0.04249667994687915,0.8648648648648649,0.0810126582278481,0.9422459530436459,3.941646983274041e-05,0.10874700546264648
QIEA,RF,3,0.11238095238095239,0.7972972972972973,0.19699499165275458,0.9562024390738515,0.007167759194344396,25.104326248168945
QIEA,GBT,3,0.22088353413654618,0.7432432432432432,0.34055727554179566,0.914880834689501,0.0049503525624610715,84.05835890769958
